Country Name,Year,Access to electricity (% of population),"Agriculture, forestry, and fishing, value added (% of GDP)",Electric power consumption (kWh per capita),Electricity production from coal sources (% of total),Electricity production from hydroelectric sources (% of total),Electricity production from natural gas sources (% of total),Electricity production from nuclear sources (% of total),"Energy imports, net (% of energy use)",Fossil fuel energy consumption (% of total),GDP (constant LCU),"Net trade in goods and services (BoP, current US$)",Urban population
Algeria,2005,98.6,6.5592713699842,891.714578002056,0.0,1.63644405130473,96.24944714728,0.0,-412.442985945372,99.5923253460603,5671962184600.0,24200999999.9988,21077300.0
Algeria,2006,98.7,6.36600271426263,862.878487448632,0.0,0.618861068528928,97.2520297507523,0.0,-373.289325966364,99.7223880594001,5836449087900.0,31947000000.0014,21658728.0
Algeria,2007,98.7,6.32601878401142,893.69762852925,0.0,0.607592214216582,97.2577696526508,0.0,-346.120700552505,99.7348630118659,6017379009700.0,30125606755.2431,22280927.0
Algeria,2008,99.3,5.54975092049628,944.941748362242,0.0,0.703350233621632,97.3282632468436,0.0,-331.682169221525,99.8039633761255,6167813484900.0,32476308401.8162,22944895.0
Algeria,2009,98.8,8.01121741497815,862.485663394753,0.0,0.794784551050622,97.6286330225189,0.0,-274.142977643099,99.920994716557,6241827246700.0,-909806577.24988,23604602.0
Algeria,2010,98.9,7.53171561491377,1010.71519484951,0.0,0.380460926225565,97.5116980802029,0.0,-268.12382605824,96.0823770706653,6541434954600.0,9943077524.8936,24290813.0
Algeria,2011,99.0,7.08352512171367,1115.96836018472,0.0,0.980009370607528,96.9350304544745,0.0,-243.485766347523,96.391089085483,6737678003200.0,17000013500.8073,24996281.0
Algeria,2012,98.8,8.02697167412095,1229.34165460568,0.0,1.08368033172465,97.0712755022039,0.0,-209.628599983569,96.8559437804052,6899382275300.0,12805677994.9306,25728190.0
Algeria,2013,99.2,9.12007464194984,1269.79181719163,0.0,0.55101018533979,97.9428953080648,0.0,-186.271618244825,97.1550340948913,7078766214500.0,2923291764.88608,26485182.0
Algeria,2014,99.3,9.40707440856373,1353.09164785509,0.0,0.395379969490365,98.6115002646244,0.0,-171.459781288734,97.0302900324726,7368995629200.0,-7677836862.5317,27265874.0
Algeria,2015,99.4,10.5327896965018,1438.57265286655,0.0,0.210761940754092,98.357510392744,0.0,-158.925681939104,21.6261944417039,7604803489400.0,-25384908362.1844,28071021.0
Algeria,2016,99.4,11.0683130545794,1470.35348531547,0.0,0.307055227685677,98.1633026747609,0.0,-178.809782796404,0.0,7901390825500.0,-27449490180.5442,28895912.0
Algeria,2017,99.5,11.0318809304784,1554.49963310729,0.0,0.073666763135047,98.7410876371386,0.0,-169.879215032606,0.0,8019911687800.0,-22402635934.4411,29733972.0
Algeria,2018,99.6,11.2438301354995,1568.47300560981,0.0,0.152615994678006,98.4855797451182,0.0,-152.180719220858,0.0,8132190451500.0,-15701394555.1328,30563352.0
Algeria,2019,99.5,11.4791798857164,1651.17795668766,0.0,0.186443588548439,98.5685548168682,0.0,-133.352746490554,0.0,8205380165500.0,-15707643325.1665,31380950.0
Algeria,2020,99.7,12.8341693887186,1591.97709300405,0.0,0.0619038595161392,98.8326700776957,0.0,-124.741531780498,0.0,7795111157300.0,-17445134687.8102,32174559.0
Algeria,2021,99.8,11.2354345605089,1681.48239613152,0.0,0.0128820705000586,98.9811453331772,0.0,-137.103046514603,0.0,8091325381200.0,-2441125782.80979,32953086.0
Angola,2002,26.3,9.3867906039345,86.9705781477391,0.0,64.7592067988669,10.1983002832861,0.0,-575.454279908967,28.2598197350819,6423975180462.56,1452563748.26,9165075.0
Angola,2003,27.4,10.000076846294,96.8027128389042,0.0,62.2055137844612,9.02255639097744,0.0,-520.181044616697,32.0081448200934,6647999263566.4,908005425.5,9690386.0
Angola,2004,28.4,10.3635914449926,88.8689466900833,0.0,78.1988408381632,8.02496656263932,0.0,-590.353277770867,32.4471399237354,7407191697664.37,3163257044.7,10238515.0
Angola,2005,29.4,8.56536731681355,102.378493445781,0.0,84.262419416003,6.8259385665529,0.0,-812.883915448714,28.4568298898292,8455663204014.97,9142016030.83224,10803050.0
Angola,2006,30.5,8.44100897843275,129.55102949102,0.0,85.2832718739524,6.03419376466644,0.0,-818.589834028409,32.7423539582404,9456967440817.37,17057651830.29,11387473.0
Angola,2007,37.5,8.61624042186554,135.187417453981,0.0,76.7901234567901,5.55555555555556,0.0,-905.051352241387,34.9546254708147,10686627500852.2,18402195771.95,12000962.0
Angola,2008,38.5,7.81831803295795,168.453501851714,0.0,77.6845223401629,4.44334732164898,0.0,-910.835918394143,37.7244935206324,11839355115351.8,21121860427.389,12641893.0
Angola,2009,33.8,10.3661474573001,197.325219398831,0.0,66.5242165242165,3.66300366300366,0.0,-775.821353502783,40.7793840600227,12075619995294.2,-378203335.81,13309339.0
Angola,2010,35.0,10.0913068588653,206.998764747106,0.0,67.9574233804368,3.30335841438796,0.0,-745.524556600854,43.7741269267812,12714862952452.7,16030508137.59,14007418.0
Angola,2011,34.6,9.55630602216444,206.950497705211,0.0,70.9329084793769,3.18640467339352,0.0,-646.021743098799,44.6920179755016,13171818547088.0,24144210612.8378,14735211.0
Angola,2012,37.3,9.69697932366603,271.711996881012,0.0,70.9338521400778,2.33463035019455,0.0,-604.183229225818,47.4299488564142,14291834458233.1,26025090817.0469,15486973.0
Angola,2013,38.4,10.3295507034404,276.087476620084,0.0,57.9710144927536,2.21075902726603,0.0,-608.406709679259,45.8357304355483,14989713495277.8,20169149501.7638,16257565.0
Angola,2014,32.0,11.4782158930109,310.374128214116,0.0,52.5313124934217,1.89453741711399,0.0,-637.730286963911,55.0987261307989,15687593118527.0,7313313527.45261,17036081.0
Angola,2015,42.0,13.6637723279796,306.167406982606,0.0,54.3330588719638,1.85261424454508,0.0,-568.890997777471,26.3540802954846,15807317332586.6,-3531471369.03048,17884616.0
Angola,2016,41.8,14.6711413269562,331.664900231538,0.0,58.3241657499083,0.782361569490282,0.0,-599.543341860681,0.0,15538509101784.1,2642737292.90861,18764489.0
Angola,2017,42.9,14.9283260019113,315.199297075801,0.0,71.2636185864606,0.372474159605177,0.0,-564.384879106892,0.0,15515295155675.9,7341498049.76021,19678361.0
Angola,2018,45.3,13.3397905678931,370.736573340292,0.0,79.3361884368308,0.642398286937901,0.0,-558.350771386648,0.0,15423070499371.0,15501535712.0518,20616442.0
Angola,2019,45.6,12.3911585673156,411.266102851676,0.0,71.6427857380873,10.9430189936688,0.0,-488.932842686293,0.0,15391502520771.6,12880814227.186,21582821.0
Angola,2020,47.0,15.0223674268676,439.11817393803,0.0,74.9063670411985,9.94925697716564,0.0,-474.846560770552,0.0,14769309150941.6,5858757656.16661,22565072.0
Angola,2021,48.2,16.561923695764,394.730414127544,0.0,72.2674305058264,10.9432979623722,0.0,-373.796632306382,0.0,15079871171186.5,14829788600.5571,23569217.0
Argentina,2001,95.5,4.56858960891786,2093.11272544125,1.21791601038223,51.3687689952747,37.5745945826031,7.82993544379617,-44.4626056000365,88.1323497632881,458795611600.0,3521810643.66417,33624665.0
Argentina,2002,96.1,10.2066467144411,2027.03969505237,0.848649606997222,53.0346906211217,37.3417646711187,6.88020802553041,-44.6310234240684,86.5116522119285,408812193300.0,15717280000.0,34059720.0
Argentina,2003,96.3,10.328166939117,2142.62949662924,0.804769972631305,45.9479125939441,42.4898996481168,8.21712498370911,-40.163476366035,85.6996942186908,444939093600.0,15611500000.0,34486742.0
Argentina,2004,96.5,8.36248661002826,2257.01230392193,1.51178212786326,38.056821468104,47.1723890345935,7.84710657266227,-28.0318418904938,87.9335613804311,485115195200.0,11933610000.0,34910927.0
Argentina,2005,96.7,7.93875427420938,2369.54636954086,1.91549508835292,40.5005247284176,44.9602435496223,6.49812326863259,-24.0369585420304,88.7429296926283,528055942500.0,12095220000.0,35343493.0
Argentina,2006,97.0,6.93557229126392,2502.54182544269,1.822044356687,42.0515849229576,41.9431613835901,6.77955643313,-18.716216878307,91.3111577484447,570549404200.0,13266642573.1592,35780106.0
Argentina,2007,97.2,7.45235394606923,2596.61182489948,1.93491567220045,34.85138050993,45.6779250517416,6.35607028050553,-8.75840895532529,89.0822082089819,621942502600.0,12570579976.2887,36207032.0
Argentina,2008,97.5,7.3189545972436,2702.5677820099,2.25052695465319,32.3455838329492,47.5415617541644,6.01179394227694,-6.2618363216528,92.1748284131746,647176159700.0,13340936973.2967,36645376.0
Argentina,2009,97.8,5.2736234689014,2680.09920295595,1.94608820740838,35.953182724687,46.0350802628568,6.67113479582829,-7.65587146065983,96.1456734325114,608872876400.0,16652818510.3957,37104726.0
Argentina,2010,98.8,7.13216745078964,2777.73377864652,2.0354719676229,33.6309169543308,44.4343927310241,5.69059238979487,-2.40216761508806,93.3868831109177,670523679400.0,12343520648.5782,37569823.0
Argentina,2011,99.0,6.99873377022519,2880.78357735056,2.42923107809677,30.7970287090946,45.8920822201288,4.91946319089463,7.23741684026606,91.9428841304471,710781597200.0,9198443049.71353,38019648.0
Argentina,2012,99.1,5.7817442068501,2917.62283612664,2.23213629481545,27.3052668714813,49.7596613209073,4.70020138470358,8.11439908863806,89.9402874146777,703485989500.0,10943688062.5681,38453227.0
