Country Name,Year,"Agriculture, forestry, and fishing, value added (% of GDP)",carbon_emissions,Electric power consumption (kWh per capita),Electricity production from hydroelectric sources (% of total),Electricity production from natural gas sources (% of total),Electricity production from nuclear sources (% of total),"Energy imports, net (% of energy use)",Fossil fuel energy consumption (% of total),"Industry (including construction), value added (% of GDP)",Renewable energy consumption (% of total final energy consumption),Trade (% of GDP),Urban population (% of total population)
Albania,2001,20.4524054141319,1.12398874181296,1351.23079642883,95.3083109919571,0.0,0.0,53.1827729721972,60.8576974284697,24.386649861103,39.0,64.2474462587009,42.354513990929
Albania,2002,19.7639164696809,1.31323725585954,1578.16591882688,93.9539860888176,0.0,0.0,54.0254111851842,63.1307925258423,26.2383265737354,35.8,65.9914650336802,43.1520419609419
Albania,2003,19.8076203314692,1.38556975617973,1469.26453867857,97.8565705128205,0.0,0.0,51.5567710161061,64.4101681240081,27.084687755804,33.7,64.8232150960777,44.0295089223208
Albania,2004,18.5630799913995,1.45837098137756,1797.52548696885,97.5026757046022,0.0,0.0,48.3698345059957,65.4676683777613,27.7299752177294,35.8,65.0379383187697,44.9784925669394
Albania,2005,17.1247178955729,1.3776914859669,1722.07284972507,98.713944515892,0.0,0.0,50.5736000967914,66.3490163247787,28.1372131604488,36.8,69.1162926602322,45.9937666920583
Albania,2006,16.0415750334868,1.3817995172674,1218.36014605619,98.3164373642288,0.0,0.0,41.2400076668958,64.3620955340319,28.4284255205783,31.6,72.2019089483674,47.0701050949378
Albania,2007,15.5325494481234,1.42962144661125,1213.12436932179,97.4825174825175,0.0,0.0,49.3498671390608,65.0184946395028,28.5772545670045,32.0,79.9119008919954,48.2022815728384
Albania,2008,15.422100399492,1.42332985219763,1617.7441562046,100.0,0.0,0.0,50.0620058023779,63.7091916036169,28.5616497223775,35.8,75.2485472798728,49.3850699230207
Albania,2009,15.2792217271528,1.46321851369709,1835.68407241763,99.9807766243752,0.0,0.0,46.4105898436196,63.2712949884953,27.5678722962167,37.1,73.3213575646169,50.6132439427449
Albania,2010,16.3586081914252,1.56778821711206,1943.34335385842,99.9867864693446,0.0,0.0,28.9622144211035,63.0747306154026,27.4749142839601,37.0,75.5325329687378,51.8815774292716
Albania,2011,16.7202229491786,1.72129581663193,2205.70392004668,98.5922214268671,0.0,0.0,35.8947695672217,61.3483054812868,26.9409865024688,35.8,80.6989985298954,53.2917382892465
Albania,2012,17.5913685516371,1.58649537107597,2147.72007489055,100.0,0.0,0.0,15.7172869864158,57.5886158712717,25.4077242038709,39.9,76.9683583166821,53.8637553661449
Albania,2013,18.924817420614,1.69345614437421,2603.56945325041,100.0,0.0,0.0,25.2004229154476,56.2283728759268,25.506803612245,41.1,75.7506185619748,54.2979678058548
Albania,2014,19.2377589164282,1.83944794209463,2405.39309898777,100.0,0.0,0.0,28.9119530198608,61.2387157089831,23.8286690584956,38.6,75.0212023084129,54.7325813178673
Albania,2015,18.7471602773412,1.78508860089342,2212.87133969149,100.0,0.0,0.0,12.696461784444,47.3533869848479,24.4814091473313,38.5,71.2794476606014,55.1579291374894
Albania,2016,19.167190753497,1.68739628528903,2132.76301009605,100.0,0.0,0.0,20.2723546315076,0.0,23.8670178864359,39.4,74.0144504546815,55.5738734464276
Albania,2017,18.079078214296,2.0244422333699,2327.54405209409,99.9558108705259,0.0,0.0,38.8336005323813,0.0,22.9533327106507,36.9,76.7873817898989,55.980276426546
Albania,2018,17.9155558179549,2.04549315439886,2502.55681850864,99.9883081959546,0.0,0.0,21.2694877505569,0.0,23.7535886253159,37.8,75.6940783717425,56.377000259892
Albania,2019,18.1603973706713,1.94096037816015,2553.9362279242,99.5582020745294,0.0,0.0,32.2318027280548,0.0,22.9655210859374,40.1,75.382128932689,56.7639071287255
Albania,2020,18.8061378649169,1.80646079858255,2642.69442510916,99.3788819875776,0.0,0.0,36.4699774665314,0.0,23.4687164183412,44.4,59.5206994391875,57.1408592155544
Albania,2021,17.793224984541,2.0532886275877,2834.40746545252,99.5425128319572,0.0,0.0,24.1177519322935,0.0,22.4341412350759,41.9,75.5904040905009,57.5077187031778
Algeria,2001,8.886179657499,2.73923253741053,711.813944308139,0.259154929577465,96.8300469483568,0.0,-406.355962129963,99.7577853262408,40.8145902645976,0.4,54.5296491177208,60.6177172788536
