Country Name,Year,Access to electricity (% of population),"Agriculture, forestry, and fishing, value added (% of GDP)",carbon_emissions,Electric power consumption (kWh per capita),Electricity production from coal sources (% of total),Electricity production from hydroelectric sources (% of total),Electricity production from natural gas sources (% of total),Electricity production from nuclear sources (% of total),"Energy imports, net (% of energy use)",Fossil fuel energy consumption (% of total),GDP (constant LCU),"Net trade in goods and services (BoP, current US$)",Urban population
Albania,2001,99.4,20.4524054141319,3.4396,1351.23079642883,0.0,95.3083109919571,0.0,0.0,53.1827729721972,60.8576974284697,880823890400.0,-936900000.0,1296121.0
Albania,2002,99.4,19.7639164696809,4.0067,1578.16591882688,0.0,93.9539860888176,0.0,0.0,54.0254111851842,63.1307925258423,921591907000.0,-1160330000.0,1316573.0
Albania,2003,99.4,19.8076203314692,4.2116,1469.26453867857,0.0,97.8565705128205,0.0,0.0,51.5567710161061,64.4101681240081,970742838800.0,-1419161205.65833,1338328.0
Albania,2004,99.4,18.5630799913995,4.4144,1797.52548696885,0.0,97.5026757046022,0.0,0.0,48.3698345059957,65.4676683777613,1021864697500.0,-1642928988.60121,1361472.0
Albania,2005,99.4,17.1247178955729,4.1489,1722.07284972507,0.0,98.713944515892,0.0,0.0,50.5736000967914,66.3490163247787,1074294755500.0,-2039576837.24939,1385096.0
Albania,2006,99.4,16.0415750334868,4.1351,1218.36014605619,0.0,98.3164373642288,0.0,0.0,41.2400076668958,64.3620955340319,1138956355300.0,-2203548908.04487,1408595.0
Albania,2007,99.4,15.5325494481234,4.246,1213.12436932179,0.0,97.4825174825175,0.0,0.0,49.3498671390608,65.0184946395028,1212989573200.0,-2879743004.28052,1431616.0
Albania,2008,100.0,15.422100399492,4.195,1617.7441562046,0.0,100.0,0.0,0.0,50.0620058023779,63.7091916036169,1296771518800.0,-3446126996.47815,1455533.0
Albania,2009,99.6,15.2792217271528,4.2836,1835.68407241763,0.0,99.9807766243752,0.0,0.0,46.4105898436196,63.2712949884953,1331664418200.0,-2967394172.50194,1481712.0
Albania,2010,99.6,16.3586081914252,4.567,1943.34335385842,0.0,99.9867864693446,0.0,0.0,28.9622144211035,63.0747306154026,1371256857800.0,-2456390642.37228,1511321.0
Albania,2011,99.7,16.7202229491786,5.0007,2205.70392004668,0.0,98.5922214268671,0.0,0.0,35.8947695672217,61.3483054812868,1405038001400.0,-2932716632.8208,1548229.0
Albania,2012,99.9,17.5913685516371,4.5385,2147.72007489055,0.0,100.0,0.0,0.0,15.7172869864158,57.5886158712717,1418865400200.0,-2296761241.42573,1540885.0
Albania,2013,99.9,18.924817420614,4.7703,2603.56945325041,0.0,100.0,0.0,0.0,25.2004229154476,56.2283728759268,1443088672100.0,-2308765606.46251,1529521.0
Albania,2014,100.0,19.2377589164282,5.1022,2405.39309898777,0.0,100.0,0.0,0.0,28.9119530198608,61.2387157089831,1475417133500.0,-2506992157.87101,1518154.0
Albania,2015,100.0,18.7471602773412,4.8756,2212.87133969149,0.0,100.0,0.0,0.0,12.696461784444,47.3533869848479,1508285061100.0,-1966180769.23213,1506525.0
Albania,2016,99.9,19.167190753497,4.5382,2132.76301009605,0.0,100.0,0.0,0.0,20.2723546315076,0.0,1567242951500.0,-2001510213.26479,1494642.0
Albania,2017,99.9,18.079078214296,5.3613,2327.54405209409,0.0,99.9558108705259,0.0,0.0,38.8336005323813,0.0,1618698294900.0,-1978658722.18737,1482517.0
Albania,2018,100.0,17.9155558179549,5.3341,2502.55681850864,0.0,99.9883081959546,0.0,0.0,21.2694877505569,0.0,1678127496200.0,-2069586882.26658,1470162.0
Albania,2019,100.0,18.1603973706713,4.984,2553.9362279242,0.0,99.5582020745294,0.0,0.0,32.2318027280548,0.0,1712740183100.0,-2103429046.38417,1457584.0
Albania,2020,100.0,18.8061378649169,4.5676,2642.69442510916,0.0,99.3788819875776,0.0,0.0,36.4699774665314,0.0,1655984146200.0,-2210461795.58811,1444795.0
Albania,2021,100.0,17.793224984541,5.1122,2834.40746545252,0.0,99.5425128319572,0.0,0.0,24.1177519322935,0.0,1804518905900.0,-2409223507.43291,1431805.0
Algeria,2005,98.6,6.5592713699842,101.4002,891.714578002056,0.0,1.63644405130473,96.24944714728,0.0,-412.442985945372,99.5923253460603,5671962184600.0,24200999999.9988,21077300.0
Algeria,2006,98.7,6.36600271426263,105.5039,862.878487448632,0.0,0.618861068528928,97.2520297507523,0.0,-373.289325966364,99.7223880594001,5836449087900.0,31947000000.0014,21658728.0
Algeria,2007,98.7,6.32601878401142,108.9161,893.69762852925,0.0,0.607592214216582,97.2577696526508,0.0,-346.120700552505,99.7348630118659,6017379009700.0,30125606755.2431,22280927.0
Algeria,2008,99.3,5.54975092049628,113.7088,944.941748362242,0.0,0.703350233621632,97.3282632468436,0.0,-331.682169221525,99.8039633761255,6167813484900.0,32476308401.8162,22944895.0
Algeria,2009,98.8,8.01121741497815,116.0891,862.485663394753,0.0,0.794784551050622,97.6286330225189,0.0,-274.142977643099,99.920994716557,6241827246700.0,-909806577.24988,23604602.0
Algeria,2010,98.9,7.53171561491377,118.6168,1010.71519484951,0.0,0.380460926225565,97.5116980802029,0.0,-268.12382605824,96.0823770706653,6541434954600.0,9943077524.8936,24290813.0
Algeria,2011,99.0,7.08352512171367,124.8035,1115.96836018472,0.0,0.980009370607528,96.9350304544745,0.0,-243.485766347523,96.391089085483,6737678003200.0,17000013500.8073,24996281.0
Algeria,2012,98.8,8.02697167412095,140.2699,1229.34165460568,0.0,1.08368033172465,97.0712755022039,0.0,-209.628599983569,96.8559437804052,6899382275300.0,12805677994.9306,25728190.0
Algeria,2013,99.2,9.12007464194984,145.7286,1269.79181719163,0.0,0.55101018533979,97.9428953080648,0.0,-186.271618244825,97.1550340948913,7078766214500.0,2923291764.88608,26485182.0
Algeria,2014,99.3,9.40707440856373,155.033,1353.09164785509,0.0,0.395379969490365,98.6115002646244,0.0,-171.459781288734,97.0302900324726,7368995629200.0,-7677836862.5317,27265874.0
Algeria,2015,99.4,10.5327896965018,164.5785,1438.57265286655,0.0,0.210761940754092,98.357510392744,0.0,-158.925681939104,21.6261944417039,7604803489400.0,-25384908362.1844,28071021.0
Algeria,2016,99.4,11.0683130545794,160.7458,1470.35348531547,0.0,0.307055227685677,98.1633026747609,0.0,-178.809782796404,0.0,7901390825500.0,-27449490180.5442,28895912.0
Algeria,2017,99.5,11.0318809304784,166.3203,1554.49963310729,0.0,0.073666763135047,98.7410876371386,0.0,-169.879215032606,0.0,8019911687800.0,-22402635934.4411,29733972.0
